Model,Type,Train RMSE,Test RMSE,Train R²,Test R²
Linear Regression,Baseline,0.0002551848383714,0.0002666483224841,0.999999999964139,0.9999999999628896
XGBoost,Baseline,0.1930473253306937,2.20755267816414,0.9999794770629826,0.9974564473551468
Random Forest,Baseline,1.814051243002923,2.9124061145319584,0.9981877795112436,0.9955728682408048
Prophet,Advanced,21.254011633376642,22.48538342268586,0.7535909932284713,0.7389486897503001
LSTM,Advanced,21.78728316924533,22.93299844799196,0.7385924717858541,0.7255013186481388
